Index,Store Name,Address,Category,Phone,Google URL,Business Website,Rating Text,Stars,Number of Reviews,Latitude,Longitude
30,KFC Plaza Senayan,"Jalan PINTU I NO.9 PLAZA SENAYAN LT.III, RT.1/RW.3",Makanan Siap Saji,(021) 5725268,https://www.google.com/maps/place/KFC+Plaza+Senayan/data=!4m7!3m6!1s0x2e69f67fbfffffff:0x501fcc062ba3df00!8m2!3d-6.225382!4d106.798693!16s%2Fg%2F1tmmhscy!19sChIJ____v3_2aS4RAN-jKwbMH1A?authuser=0&hl=id&rclk=1,,"4,5 106 Ulasan",NaN,,-6.225382,106.798693
31,KFC Pondok Bambu,"Jl. Pahlawan Revolusi No.7, RT.3/RW.4",Makanan Siap Saji,0811-7156-909,https://www.google.com/maps/place/KFC+Pondok+Bambu/data=!4m7!3m6!1s0x2e69f35a16a35d79:0xc5574c211673e283!8m2!3d-6.2209242!4d106.8992809!16s%2Fg%2F11bwylm94s!19sChIJeV2jFlrzaS4Rg-JzFiFMV8U?authuser=0&hl=id&rclk=1,,"4,4 4.068 Ulasan",NaN,,-6.2209242,106.8992809
32,KFC Shell S Parman,"Jl. Letjen S. Parman No.37 P 2, RT.2/RW.3",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Shell+S+Parman/data=!4m7!3m6!1s0x2e69f6be36c9f52f:0xb7113cae62d05d12!8m2!3d-6.1986205!4d106.7976023!16s%2Fg%2F11cjhzcj7k!19sChIJL_XJNr72aS4REl3QYq48Ebc?authuser=0&hl=id&rclk=1,,"4,5 875 Ulasan",NaN,,-6.1986205,106.7976023
33,KFC Stasiun Kota,"Jl. St. Kota No.48 8, RT.8/RW.6",Makanan Siap Saji,0811-7157-107,https://www.google.com/maps/place/KFC+Stasiun+Kota/data=!4m7!3m6!1s0x2e69f601b22da8bd:0x42d8573f62ff8b56!8m2!3d-6.137585!4d106.814676!16s%2Fg%2F11c415hcfw!19sChIJvagtsgH2aS4RVov_Yj9X2EI?authuser=0&hl=id&rclk=1,,"4,5 1.535 Ulasan",NaN,,-6.137585,106.814676
34,KFC Box Plaza Mandiri,"Ged. Bank Exim, Jl. Gatot Subroto No.KaV.36-38 Lt.2, RT.7/RW.1",Makanan Siap Saji,0811-7157-087,https://www.google.com/maps/place/KFC+Box+Plaza+Mandiri/data=!4m7!3m6!1s0x2e69f13552ebbda7:0xdc6a2aed0d335b41!8m2!3d-6.225039!4d106.814093!16s%2Fg%2F11qplgy3v6!19sChIJp73rUjXxaS4RQVszDe0qatw?authuser=0&hl=id&rclk=1,,"4,4 252 Ulasan",NaN,,-6.225039,106.814093
35,KFC Mall Kota Kasablanka,"Jl. Raya Casablanca, RT.4/RW.14",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Mall+Kota+Kasablanka/data=!4m7!3m6!1s0x2e69f38d31c71167:0x740c60dfa709c365!8m2!3d-6.2228213!4d106.8431468!16s%2Fg%2F1jkyjbdyv!19sChIJZxHHMY3zaS4RZcMJp99gDHQ?authuser=0&hl=id&rclk=1,,"4,4 1.517 Ulasan",NaN,,-6.2228213,106.8431468
36,KFC Pondok Indah Mall 2,"Jl. Metro Pondok Indah No.II, RT.1/RW.16",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Pondok+Indah+Mall+2/data=!4m7!3m6!1s0x2e69f1a68b56d745:0x86962e25e515e753!8m2!3d-6.2667446!4d106.7829925!16s%2Fg%2F1tf8ht8b!19sChIJRddWi6bxaS4RU-cV5SUuloY?authuser=0&hl=id&rclk=1,,"4,2 143 Ulasan",NaN,,-6.2667446,106.7829925
37,KFC Lokasari,"Jl. Raya Mangga Besar No.51 C/1-18, RT.6/RW.2",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Lokasari/data=!4m7!3m6!1s0x2e69f47477f0281b:0xec40e808a90b2d29!8m2!3d-6.1476334!4d106.8241651!16s%2Fg%2F1tgld43_!19sChIJGyjwd3T0aS4RKS0LqQjoQOw?authuser=0&hl=id&rclk=1,,"4,3 1.997 Ulasan",NaN,,-6.1476334,106.8241651
38,KFC Plaza Atrium Senen,"Jalan SEGITIGA, RW.2",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Plaza+Atrium+Senen/data=!4m7!3m6!1s0x2e69f681d87c7389:0x2b462eb3f4c441d3!8m2!3d-6.1775451!4d106.8414805!16s%2Fg%2F1tdlr2gy!19sChIJiXN82IH2aS4R00HE9LMuRis?authuser=0&hl=id&rclk=1,,"4,4 1.093 Ulasan",NaN,,-6.1775451,106.8414805
39,KFC Gandaria City Mall,"JL. GANDARIA KEL, RT.12/RW.4",Makanan Siap Saji,(021) 29052952,https://www.google.com/maps/place/KFC+Gandaria+City+Mall/data=!4m7!3m6!1s0x2e69f110b6dbbdef:0xeeecbb72ad73734d!8m2!3d-6.244481!4d106.7840379!16s%2Fg%2F12ml2y3tw!19sChIJ773bthDxaS4RTXNzrXK77O4?authuser=0&hl=id&rclk=1,,"4,2 656 Ulasan",NaN,,-6.244481,106.7840379
40,KFC,"KFC, Blok B No.1 METRO CENTRO, Jl. Pantai Indah Utara 2 No.1, RT.3/RW.7",Makanan Siap Saji,0811-7157-072,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e6a1d9700000001:0x9106e357988f932a!8m2!3d-6.1166449!4d106.7622151!16s%2Fg%2F1tp4ljdf!19sChIJAQAAAJcdai4RKpOPmFfjBpE?authuser=0&hl=id&rclk=1,,"4,4 3.189 Ulasan",NaN,,-6.1166449,106.7622151
41,KFC Plaza Kuningan,"Jalan H.R Rasuna Said KaV.C22 Jakarta 12940 Indonesia (Unit UG 63, 2, RT.2/RW.5",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Plaza+Kuningan/data=!4m7!3m6!1s0x2e69f3f733bd3153:0xed9fe69ae94e1741!8m2!3d-6.2216764!4d106.8327277!16s%2Fg%2F1tcwzb7s!19sChIJUzG9M_fzaS4RQRdO6Zrmn-0?authuser=0&hl=id&rclk=1,,"4,2 631 Ulasan",NaN,,-6.2216764,106.8327277
42,KFC Carrefour Lebak Bulus,"Jl. Lebak Bulus Raya No.8, RT.10/RW.7",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Carrefour+Lebak+Bulus/data=!4m7!3m6!1s0x2e69f1cdd3ca854d:0xd09fe6ae3c40a564!8m2!3d-6.2878654!4d106.7763432!16s%2Fg%2F1tvbgrfq!19sChIJTYXK083xaS4RZKVAPK7mn9A?authuser=0&hl=id&rclk=1,,"4,3 240 Ulasan",NaN,,-6.2878654,106.7763432
43,KFC,Komplek pupera,Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f1c72c244e1f:0xa72a0340d45489c8!8m2!3d-6.2839349!4d106.780481!16s%2Fg%2F11fv498pxm!19sChIJH04kLMfxaS4RyIlU1EADKqc?authuser=0&hl=id&rclk=1,,"4,5 2.573 Ulasan",NaN,,-6.2839349,106.780481
44,KFC Teluk Gong,Jl. Teluk Gong Raya,Makanan Siap Saji,0811-7157-056,https://www.google.com/maps/place/KFC+Teluk+Gong/data=!4m7!3m6!1s0x2e6a1d8874b6ac2b:0xa04b82da6be265aa!8m2!3d-6.1380739!4d106.782794!16s%2Fg%2F1w6gn824!19sChIJK6y2dIgdai4RqmXia9qCS6A?authuser=0&hl=id&rclk=1,,"4,4 1.743 Ulasan",NaN,,-6.1380739,106.782794
45,KFC Mall Ambassador,"Jl. Prof. DR. Satrio, RT.11/RW.4",Makanan Siap Saji,0811-7157-084,https://www.google.com/maps/place/KFC+Mall+Ambassador/data=!4m7!3m6!1s0x2e69f3fa4f9d9019:0x9e5ca9a51a4d356!8m2!3d-6.223974!4d106.826852!16s%2Fg%2F1tf05271!19sChIJGZCdT_rzaS4RVtOkUZrK5Qk?authuser=0&hl=id&rclk=1,,"4,2 319 Ulasan",NaN,,-6.223974,106.826852
46,KFC ITC Roxy Mas,"Jl. Kh Hasyim Ashari, RW.8",Ayam,0811-7157-112,https://www.google.com/maps/place/KFC+ITC+Roxy+Mas/data=!4m7!3m6!1s0x2e69f6708e64a8d1:0x52958366244858ef!8m2!3d-6.1663709!4d106.8032607!16s%2Fg%2F12ml2y045!19sChIJ0ahkjnD2aS4R71hIJGaDlVI?authuser=0&hl=id&rclk=1,,"4,1 201 Ulasan",NaN,,-6.1663709,106.8032607
47,KFC,"Teras Benhil, Jl. Bendungan Hilir No.2 Lantai UG, RT.8/RW.1",Makanan Siap Saji,(021) 29017357,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f6abb2ac16dd:0xd1ac0c8ae6d18ec9!8m2!3d-6.21447!4d106.814805!16s%2Fg%2F11ddwtg541!19sChIJ3Rassqv2aS4RyY7R5ooMrNE?authuser=0&hl=id&rclk=1,,"4,2 1.124 Ulasan",NaN,,-6.21447,106.814805
48,KFC Blok M Plaza,"Jl. Bulungan No.76, RT.6/RW.6",Makanan Siap Saji,0811-7156-961,https://www.google.com/maps/place/KFC+Blok+M+Plaza/data=!4m7!3m6!1s0x2e69f16c7d545319:0x8055dbeeb105915b!8m2!3d-6.244148!4d106.797103!16s%2Fg%2F11b6dfzg7v!19sChIJGVNUfWzxaS4RW5EFse7bVYA?authuser=0&hl=id&rclk=1,,"4,5 793 Ulasan",NaN,,-6.244148,106.797103
49,KFC,"Jl. Mayor Jendral Sutoyo No.76, RT.3/RW.11",Ayam,(021) 30019651,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f4b9aaaaaaab:0x77eadffb7c711141!8m2!3d-6.2622093!4d106.8661761!16s%2Fg%2F12ml2yqcb!19sChIJq6qqqrn0aS4RQRFxfPvf6nc?authuser=0&hl=id&rclk=1,,"4,4 488 Ulasan",NaN,,-6.2622093,106.8661761
50,KFC,"Jl. Jend. Basuki Rachmat No.8 1A, RT.8/RW.10",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f37b0980d46f:0x4843e5dde5d90ce!8m2!3d-6.22409!4d106.8779923!16s%2Fg%2F11n00mtq4h!19sChIJb9SACXvzaS4RzpBd3l0-hAQ?authuser=0&hl=id&rclk=1,,"4,3 149 Ulasan",NaN,,-6.22409,106.8779923
51,KFC - Tamini Square,"Jl. Raya Pd. Gede GARUDA No.15, RT.3/RW.2",Ayam,(021) 14022,https://www.google.com/maps/place/KFC+-+Tamini+Square/data=!4m7!3m6!1s0x2e69f29bcd6fc375:0x67c370979799929d!8m2!3d-6.291032!4d106.881298!16s%2Fg%2F1tdlr2ft!19sChIJdcNvzZvyaS4RnZKZl5dww2c?authuser=0&hl=id&rclk=1,,"4,4 899 Ulasan",NaN,,-6.291032,106.881298
52,KFC,"Jalan Mangga Dua Raya, Jakarta Utara, RT.17/RW.11",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f5cf4d9322cb:0x987bb1742a8ebb5d!8m2!3d-6.139068!4d106.828367!16s%2Fg%2F11c2jv8692!19sChIJyyKTTc_1aS4RXbuOKnSxe5g?authuser=0&hl=id&rclk=1,,"4,4 228 Ulasan",NaN,,-6.139068,106.828367
53,Kfc Golden Trully,"Mal Golden Truly GF, Jl. Gn. Sahari No.59 2, RT.2/RW.1",Makanan Siap Saji,(021) 4219531,https://www.google.com/maps/place/Kfc+Golden+Trully/data=!4m7!3m6!1s0x2e69f5ea122be06d:0x9547ffc882802112!8m2!3d-6.1614961!4d106.8381169!16s%2Fg%2F1tcz07td!19sChIJbeArEur1aS4REiGAgsj_R5U?authuser=0&hl=id&rclk=1,,"3,6 107 Ulasan",NaN,,-6.1614961,106.8381169
54,KFC Mangga Dua Mall,"Jalan ARTERI, RT.1/RW.12",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Mangga+Dua+Mall/data=!4m7!3m6!1s0x2e69f5f88618e99b:0x8673bad22fc31660!8m2!3d-6.1370596!4d106.8238983!16s%2Fg%2F1tp68vg7!19sChIJm-kYhvj1aS4RYBbDL9K6c4Y?authuser=0&hl=id&rclk=1,,"4,1 331 Ulasan",NaN,,-6.1370596,106.8238983
55,KFC Arion Plaza,"Jl. Pemuda No.3 2, RT.2/RW.7",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Arion+Plaza/data=!4m7!3m6!1s0x2e69f4c74ed39765:0x6ba3713780ecb73d!8m2!3d-6.1940007!4d106.890409!16s%2Fg%2F1tk20c0p!19sChIJZZfTTsf0aS4RPbfsgDdxo2s?authuser=0&hl=id&rclk=1,,"4,3 632 Ulasan",NaN,,-6.1940007,106.890409
56,KFC Stasiun Manggarai,"Jl. Manggarai Utara 1 No.1, RT.1/RW.11",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Stasiun+Manggarai/data=!4m7!3m6!1s0x2e69f5e2e33edfc1:0xd6dbfafc91db30e6!8m2!3d-6.210319!4d106.850992!16s%2Fg%2F11lkz84p50!19sChIJwd8-4-L1aS4R5jDbkfz629Y?authuser=0&hl=id&rclk=1,,"4,3 1.187 Ulasan",NaN,,-6.210319,106.850992
57,KFC Box RS PELNI Jakarta,"Tempat Parkir, Jl. K.S. Tubun No.92, RT.13/RW.1",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Box+RS+PELNI+Jakarta/data=!4m7!3m6!1s0x2e69f710b37fb443:0x9ad5a27f44108724!8m2!3d-6.1934752!4d106.8049521!16s%2Fg%2F11lkz7q1n7!19sChIJQ7R_sxD3aS4RJIcQRH-i1Zo?authuser=0&hl=id&rclk=1,,"4,5 143 Ulasan",NaN,,-6.1934752,106.8049521
58,KFC,"Jl. Pinangsia Raya No.1, RT.1/RW.6",Ayam,(021) 14022,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f6076af50801:0x6c427cfff82fbe73!8m2!3d-6.1422499!4d106.8164841!16s%2Fg%2F1tcwbhf6!19sChIJAQj1agf2aS4Rc74v-P98Qmw?authuser=0&hl=id&rclk=1,,"4,5 352 Ulasan",NaN,,-6.1422499,106.8164841
59,Kentucky Fried Chiken Danau Sunter Utara,Jl. Danau Sunter Utara,Ayam,(021) 14022,https://www.google.com/maps/place/Kentucky+Fried+Chiken+Danau+Sunter+Utara/data=!4m7!3m6!1s0x2e69f5699d0bcbb5:0x5b0a03f1047d6217!8m2!3d-6.1379453!4d106.8709985!16s%2Fg%2F1vk4r8dw!19sChIJtcsLnWn1aS4RF2J9BPEDCls?authuser=0&hl=id&rclk=1,,"4,2 461 Ulasan",NaN,,-6.1379453,106.8709985
60,KFC Cilandak Mall,"Jl. Raya Cilandak KKO No.42 1, RT.1/RW.5",Makanan Siap Saji,(021) 78840155,https://www.google.com/maps/place/KFC+Cilandak+Mall/data=!4m7!3m6!1s0x2e69ee01a59e1a47:0xe22754740c7d0c07!8m2!3d-6.3013441!4d106.8142004!16s%2Fg%2F1vl91cvq!19sChIJRxqepQHuaS4RBwx9DHRUJ-I?authuser=0&hl=id&rclk=1,,"4,3 769 Ulasan",NaN,,-6.3013441,106.8142004
